Date,Value
2018-12-31,87.222999572754
2017-12-31,87.001003265381
2016-12-31,86.772998809814
2015-12-31,86.264999389648
2014-12-31,85.791999816895
2013-12-31,85.486000061035
2012-12-31,85.854999542236
2011-12-31,84.0
2010-12-31,84.093997955322
2009-12-31,84.1369972229
2008-12-31,83.826999664307
2007-12-31,83.770000457764
2006-12-31,83.764999389648
2005-12-31,83.749000549316
2004-12-31,83.771999359131
2003-12-31,83.806999206543
2002-12-31,83.783000946045
2001-12-31,83.837001800537
2000-12-31,83.908000946045
1999-12-31,83.91300201416
1998-12-31,83.930000305176
1997-12-31,83.938999176025
1996-12-31,84.062999725342
1995-12-31,84.130001068115
1994-12-31,84.249000549316
1993-12-31,84.256000518799
1992-12-31,84.334999084473
1991-12-31,84.375
